Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
332,Will Brennan*,27,CLE,-0.2,6,13,11,0,1,0,0,0,0,0,1,1,1,0.091,0.231,0.091,0.322,-4,0.131,-7,1,1,1,0,0,0,/98H,,brennwi02
333,Blaine Crim,28,TEX,-0.2,5,13,11,1,0,0,0,0,0,0,0,1,6,0,0.154,0,0.154,-48,0.108,-38,0,0,1,0,0,0,/3DH,,crimbl01
334,Corey Julks,29,CHW,0.1,6,13,12,2,3,2,0,0,1,0,0,0,3,0.25,0.231,0.417,0.647,76,0.251,54,5,0,0,0,1,0,/7DH,,julksco01
335,Vimael Machín*,31,BAL,0.1,4,12,11,1,1,0,0,1,1,0,0,1,2,0.091,0.167,0.364,0.53,43,0.225,37,4,0,0,0,0,0,/5,,machivi01
336,Tristan Peters*,25,TBR,-0.4,4,12,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,-129,0,0,0,0,0,0,/8,,petertr01
337,Bryan Ramos,23,CHW,0.1,4,12,12,1,2,2,0,0,2,0,0,0,4,0.167,0.167,0.333,0.5,35,0.206,21,4,0,0,0,0,0,/5H,,ramosbr01
338,Nick Ahmed,35,TEX,0.1,5,10,9,1,0,0,0,0,0,1,0,1,3,0,0.1,0,0.1,-66,0.182,-1,0,1,0,0,0,0,/6,,ahmedni01
339,Coco Montes,28,TBR,0.1,5,10,10,0,2,0,0,0,1,0,0,0,3,0.2,0.2,0.2,0.4,13,0.178,0,2,0,0,0,0,0,/457,,monteco01
340,Omar Narváez*,33,CHW,0,4,10,7,1,2,0,0,0,3,0,0,2,1,0.286,0.4,0.286,0.686,98,0.305,93,2,0,0,0,1,0,/2,,narvaom01
341,Rhylan Thomas*,25,SEA,0,3,10,8,2,1,1,0,0,2,0,0,1,0,0.125,0.2,0.25,0.45,29,0.282,85,2,0,0,0,1,0,/97,,thomarh01
342,J.D. Davis,32,LAA,-0.2,5,9,9,0,1,0,0,0,0,0,0,0,3,0.111,0.111,0.111,0.222,-37,0.099,-59,1,0,0,0,0,0,/3H5,,davisjd01
343,Justin Foscue,26,TEX,-0.1,4,9,9,0,1,1,0,0,2,0,0,0,3,0.111,0.111,0.222,0.333,-5,0.138,-17,2,0,0,0,0,0,/3DH,,foscuju01
344,Jhostynxon García,22,BOS,0,5,9,7,0,1,1,0,0,0,0,0,2,5,0.143,0.333,0.286,0.619,78,0.29,81,2,0,0,0,0,0,/79DH,,garcijh01
345,Jon Singleton*,33,HOU,-0.1,3,9,9,0,1,0,0,0,0,0,0,0,1,0.111,0.111,0.111,0.222,-38,0.099,-59,1,0,0,0,0,0,/D3H,,singljo02
346,Samad Taylor,26,SEA,-0.1,4,9,8,1,1,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25,-27,0.099,-68,1,0,0,1,0,0,/98H,,taylosa04
347,Dairon Blanco,32,KCR,0,9,8,6,2,1,1,0,0,1,3,2,0,2,0.167,0.167,0.333,0.5,35,0.313,144,2,0,0,2,0,0,/H78,,blancda02
348,Harry Ford,22,SEA,0,8,8,6,1,1,0,0,0,1,0,0,0,3,0.167,0.25,0.167,0.417,24,0.201,26,1,0,1,0,1,0,/2HD,,fordha01
349,Petey Halpin*,23,CLE,0.1,6,8,6,5,2,0,0,0,0,0,0,2,2,0.333,0.5,0.333,0.833,142,0.382,147,2,0,0,0,0,0,/8H7,,halpipe01
350,Derek Hill,29,CHW,0.2,4,8,7,0,2,0,0,0,1,0,0,0,2,0.286,0.375,0.286,0.661,90,0.3,89,2,0,1,0,0,0,/8H,,hillde01
351,Carter Kieboom,27,LAA,-0.3,3,8,8,0,2,0,0,0,1,0,0,0,1,0.25,0.25,0.25,0.5,42,0.222,30,2,0,0,0,0,0,/3H,,kieboca01
352,Dom Nuñez*,30,CLE,0,2,7,7,2,2,0,0,0,0,0,0,0,4,0.286,0.286,0.286,0.571,62,0.226,34,2,0,0,0,0,0,/2,,nunezdo01
353,Buddy Kennedy,26,TOR,-0.1,2,6,5,1,1,1,0,0,0,0,0,1,1,0.2,0.333,0.4,0.733,102,0.321,100,2,0,0,0,0,0,/45,,kennebu01
354,Nicky Lopez*,30,LAA,-0.2,4,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-131,0,0,0,0,0,0,/5167,,lopezni01
355,Jonathan Ornelas,25,TEX,0,4,6,5,0,0,0,0,0,0,0,0,1,3,0,0.167,0,0.167,-44,0.114,-34,0,0,0,0,0,0,/64,,orneljo01
