Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
189,LaMonte Wade Jr.*,31,SFG,-1.2,50,169,144,12,24,8,2,1,15,0,0,21,35,0.167,0.275,0.271,0.546,58,0.255,61,39,2,1,2,1,1,3/HD,,wadela01
190,Yohel Pozo,28,STL,0.2,67,168,160,16,37,8,0,5,19,0,0,7,22,0.231,0.262,0.375,0.637,80,0.281,76,60,4,0,0,1,0,2H/3D,,pozoyo01
191,Thairo Estrada,29,COL,-0.4,39,165,154,14,39,9,0,3,21,1,3,6,26,0.253,0.285,0.37,0.655,74,0.286,72,57,6,2,0,3,0,4,,estrath01
192,Martín Maldonado,38,SDP,-0.2,64,161,147,11,30,6,0,4,12,0,0,8,57,0.204,0.245,0.327,0.572,57,0.258,53,48,3,0,6,0,0,2,,maldoma01
193,Amed Rosario,29,WSN,0.3,46,158,148,19,40,8,0,5,18,1,0,7,22,0.27,0.31,0.426,0.736,107,0.326,108,63,5,2,0,1,0,54H/D169,,rosaram01
194,Kyle Karros,22,COL,0,43,156,137,20,31,4,0,1,9,0,0,15,41,0.226,0.308,0.277,0.585,59,0.274,57,38,5,2,0,2,0,5/DH,,karroky01
195,Dalton Rushing*,24,LAD,0.2,53,155,142,15,29,5,0,4,24,0,0,10,58,0.204,0.258,0.324,0.582,63,0.263,61,46,1,1,0,2,0,2/H3D,,rushida01
196,Brandon Lockridge,28,2TM,0.2,67,148,134,17,31,7,1,0,11,10,1,8,36,0.231,0.276,0.299,0.574,60,0.266,51,40,2,1,3,2,0,78H9/D,,lockrbr01
196,Brandon Lockridge,28,SDP,-0.2,47,95,88,9,19,4,0,0,5,8,1,4,24,0.216,0.258,0.261,0.519,45,0.247,35,23,2,1,2,0,0,78H/9,,lockrbr01
196,Brandon Lockridge,28,MIL,0.4,20,53,46,8,12,3,1,0,6,2,0,4,12,0.261,0.308,0.37,0.677,88,0.3,80,17,0,0,1,2,0,/89H7D,,lockrbr01
